robins_lat,robins_long
-6.78685,148.83
-6.78681,101.558
-6.78665,94.4844
-6.78661,37.3091
-6.78658,226.27
-6.78647,8.35894
-6.78642,45.91
-6.7864,137.075
-6.78639,37.5343
-6.78637,136.621
-6.78632,289.87
-6.78617,100.723
-6.78616,300.664
-6.78613,184.599
-6.78612,77.4703
-6.78598,142.556
-6.78598,115.598
-6.78586,298.011
-6.78586,166.334
-6.78584,231.536
-6.7858,164.603
-6.78571,273.206
-6.78563,144.549
-6.78557,280.496
-6.78537,359.191
-6.78536,124.142
-6.78528,118.72
-6.78524,67.8047
-6.78518,124.312
-6.78503,244.772
-6.78498,237.542
-6.78475,72.6475
-6.78473,80.968
-6.78464,40.9608
-6.78462,56.3577
-6.7844,189.27
-6.78437,136.962
-6.78423,286.331
-6.78414,19.0684
-6.78412,30.3748
-6.78394,299.424
-6.78388,1.599
-6.78387,258.001
-6.78384,233.639
-6.78379,141.155
-6.78377,38.2429
-6.78337,83.2921
-6.78332,216.428
-6.78323,223.962
-6.783,74.0627
-6.78298,174.006
-6.78286,115.179
-6.78279,358.475
-6.78268,142.479
-6.78255,178.112
-6.78249,2.65332
-6.78238,113.709
-6.78232,161.377
-6.78202,219.938
-6.782,150.367
-6.78199,174.828
-6.78159,242.355
-6.78157,209.738
-6.78157,333.401
-6.78153,27.612
-6.78151,269.202
-6.78137,29.2188
-6.78131,119.775
-6.78129,356.064
-6.78076,135.804
-6.78074,311.737
-6.78072,164.296
-6.7807,75.381
-6.78069,205.83
-6.78062,211.894
-6.78062,26.7005
-6.78052,158.803
-6.78017,99.7145
-6.78016,230.62
-6.7801,204.726
-6.78006,268.519
-6.78001,251.433
-6.78001,108.258
-6.77998,26.9272
-6.7798,264.176
-6.77971,21.042
-6.7797,358.317
-6.77967,6.35135
-6.77931,157.595
-6.77922,55.2745
-6.77915,77.1079
-6.77909,10.6141
-6.77899,220.484
-6.77895,125.949
-6.77893,103.91
-6.77877,195.412
-6.77875,33.2365
-6.77857,110.139
-6.7784,68.0211
-6.77819,38.7359
-6.77814,37.7915
-6.77791,99.1075
-6.77779,286.369
-6.77779,2.06511
-6.77776,328.805
-6.77775,358.922
-6.77765,103.423
-6.77764,200.628
-6.77757,269.255
-6.77756,76.1127
-6.77722,355.241
-6.77721,62.1968
-6.77718,145.094
-6.77708,115.94
-6.77696,152.044
-6.77657,217.847
-6.77653,15.3186
-6.77652,206.737
-6.77614,158.169
-6.77609,22.4118
-6.77602,55.1695
-6.77584,140.042
-6.77564,250.048
-6.77562,126.84
-6.77547,333.359
-6.77545,103.233
-6.77531,239.416
-6.77529,216.749
-6.77526,58.8168
-6.7752,68.5722
-6.77519,79.6897
-6.77514,143.507
-6.77513,173.804
-6.77501,86.689
-6.77498,241.82
-6.77493,278.075
-6.77493,155.783
-6.7749,223.921
-6.77484,75.1167
-6.77482,66.6531
-6.7748,104.143
-6.77475,193.859
-6.7747,102.932
-6.77441,2.84537
-6.77439,274.467
-6.77436,104.275
-6.77425,175.272
-6.77421,240.281
-6.77418,254.77
-6.77409,126.602
-6.77394,99.8897
-6.77385,15.2367
-6.77383,147.609
-6.77377,217.992
-6.77375,261.514
-6.77372,347.677
-6.7737,91.7098
-6.77364,258.657
-6.77362,115.822
-6.77347,307.523
-6.77345,126.515
-6.77326,225.547
-6.77303,175.787
-6.77301,3.55108
-6.77292,225.421
-6.77289,272.116
-6.77283,28.7646
-6.77264,99.1772
-6.7726,353.456
-6.77249,22.257
-6.77246,31.0698
-6.77235,110.988
-6.77232,143.463
-6.77215,145.942
-6.7721,93.468
-6.77205,246.804
-6.77189,105.093
-6.77182,93.5904
-6.77158,53.2375
-6.77156,151.931
-6.77127,272.306
-6.7712,18.6226
-6.77115,19.6313
-6.77105,296.734
-6.77097,142.41
-6.77087,279.724
-6.77081,53.7168
-6.77081,107.544
-6.77076,192.226
-6.77071,206.67
-6.77067,195.126
-6.77043,224.301
-6.77036,240.883
-6.77031,25.297
-6.77027,334.317
-6.77012,300.39
-6.76992,257.932
-6.76992,145.674
-6.76985,207.642
-6.76978,70.6658
-6.76962,72.2432
-6.76926,135.495
-6.76925,129.921
-6.76918,79.7688
-6.76915,131.523
-6.76913,67.2837
-6.76901,107.025
-6.76873,221.626
-6.76854,298.808
-6.76825,132.252
-6.76821,168.766
-6.76814,204.772
-6.76782,0.407205
-6.76764,341.508
-6.76761,171.068
-6.76759,217.592
-6.76757,124.898
-6.76756,26.4807
-6.76755,270.977
-6.76741,243.553
-6.76725,14.2926
-6.76723,339.136
-6.76722,30.4313
-6.76718,221.111
-6.76712,156.426
-6.76701,152.925
-6.76701,179.833
-6.76691,229.701
-6.76686,268.476
-6.76676,113.388
-6.76671,279.769
-6.7667,2.29191
-6.76642,193.122
-6.76635,260.246
-6.76578,32.7924
-6.76575,72.5607
-6.7657,54.9159
-6.7656,354.937
-6.76559,144.885
-6.76556,75.02
-6.76533,88.9518
-6.7653,77.1969
-6.76528,157.325
-6.76526,216.882
-6.76525,231.647
-6.76525,94.7154
-6.76515,50.6969
-6.76513,354.423
-6.76508,165.735
-6.76505,78.5578
-6.76491,92.7471
-6.76447,143.383
-6.76435,297.673
-6.7642,70.8038
-6.76418,186.097
-6.76409,354.343
-6.76395,271.389
-6.76391,145.208
-6.76389,185.203
-6.76387,142.746
-6.7637,202.146
-6.76364,279.214
-6.76363,9.32766
-6.76358,280.915
-6.76346,274.643
-6.76344,126.774
-6.76342,200.175
-6.76341,94.5377
-6.76338,143.678
-6.76315,194.366
-6.76302,342.994
-6.76294,185.319
-6.76282,344.998
-6.76282,109.359
-6.76272,125.472
-6.76252,31.5527
-6.7625,70.5911
-6.76243,223.698
-6.76239,200.3
-6.76218,265.976
-6.76204,24.5383
-6.76192,355.945
-6.76192,136.515
-6.76183,112.378
-6.7615,73.644
-6.76143,274.346
-6.76142,113.962
-6.76139,91.0915
-6.76137,133.271
-6.76136,242.047
-6.76121,244.419
-6.76106,205.424
-6.76099,134.692
-6.76058,214.139
-6.76057,107.752
-6.76032,118.942
-6.76028,168.902
-6.76016,183.228
-6.76012,353.604
-6.75991,270.673
-6.7599,39.3416
-6.75983,123.349
-6.75981,221.815
-6.75977,154.685
-6.75976,155.121
-6.75972,7.01244
-6.75942,121.331
-6.75941,34.2736
-6.7594,300.962
-6.75915,112.063
-6.75911,78.4991
-6.75911,144.999
-6.75909,296.215
-6.75906,13.2476
-6.75897,222.092
-6.75886,175.971
-6.75882,355.34
-6.75874,359.992
-6.75864,74.907
-6.7585,38.7793
-6.75834,175.698
-6.75807,202.846
-6.75789,40.7821
-6.75782,28.5922
-6.75775,74.2253
-6.75772,148.071
-6.75769,155.269
-6.75761,26.1874
-6.75759,199.462
-6.7575,154.458
-6.75747,131.659
-6.75701,119.849
-6.75673,265.574
-6.75664,98.5325
-6.75642,250.489
-6.75633,6.06659
-6.75632,216.987
-6.75605,245.327
-6.75571,332.896
-6.75558,231.617
-6.75557,121.021
-6.75544,224.213
-6.75543,173.458
-6.75536,13.9731
-6.7553,105.621
-6.75524,169.011
-6.75517,214.184
-6.75507,351.249
-6.75486,110.408
-6.75455,143.852
-6.75411,19.23
-6.75409,40.5079
-6.75408,10.2365
-6.75405,205.819
-6.75404,302.207
-6.75377,33.255
-6.75372,107.148
-6.75346,56.5048
-6.75341,21.4993
-6.75331,154.904
-6.75326,30.4955
-6.75293,21.8512
-6.75281,107.362
-6.7527,0.699509
-6.7527,56.6367
-6.75268,186
-6.75254,116.298
-6.7524,299.359
