Image Name,crater_lat,crater_long
M1233799944RC_pyr.tif,-1.607422,69.196675
M1233799944LC_pyr.tif,-1.60741,69.055917
M1233799944RC_pyr.tif,-1.607164,69.214709
M1233799944RC_pyr.tif,-1.607164,69.233578
M1233799944LC_pyr.tif,-1.607145,69.098018
M1233799944LC_pyr.tif,-1.607078,69.055467
M1233799944LC_pyr.tif,-1.606945,69.069009
M1233799944LC_pyr.tif,-1.606879,69.089996
M1233799944RC_pyr.tif,-1.606713,69.224336
M1233799944RC_pyr.tif,-1.606713,69.241921
M1233799944RC_pyr.tif,-1.606262,69.237172
M1233799944LC_pyr.tif,-1.606082,69.071769
M1233799944RC_pyr.tif,-1.606068,69.214645
M1233799944RC_pyr.tif,-1.605746,69.220678
M1233799944RC_pyr.tif,-1.605617,69.236209
M1233799944LC_pyr.tif,-1.605617,69.091986
M1233799944RC_pyr.tif,-1.605488,69.232487
M1233799944LC_pyr.tif,-1.605352,69.04937
M1233799944RC_pyr.tif,-1.604908,69.22793
M1233799944LC_pyr.tif,-1.604887,69.049049
M1233799944LC_pyr.tif,-1.604688,69.059446
M1233799944RC_pyr.tif,-1.604521,69.233
M1233799944RC_pyr.tif,-1.604457,69.220999
M1233799944LC_pyr.tif,-1.604422,69.079406
M1233799944LC_pyr.tif,-1.604422,69.073759
M1233799944RC_pyr.tif,-1.604393,69.211243
M1233799944RC_pyr.tif,-1.604264,69.236659
M1233799944RC_pyr.tif,-1.604199,69.229791
M1233799944RC_pyr.tif,-1.604199,69.227866
M1233799944LC_pyr.tif,-1.604023,69.09513
M1233799944LC_pyr.tif,-1.603957,69.068047
M1233799944RC_pyr.tif,-1.603877,69.239675
M1233799944LC_pyr.tif,-1.603691,69.09789
M1233799944RC_pyr.tif,-1.603555,69.246735
M1233799944RC_pyr.tif,-1.60349,69.21933
M1233799944RC_pyr.tif,-1.603426,69.216442
M1233799944RC_pyr.tif,-1.603361,69.244617
M1233799944RC_pyr.tif,-1.603232,69.206173
M1233799944LC_pyr.tif,-1.60316,69.054633
M1233799944RC_pyr.tif,-1.603039,69.211372
M1233799944RC_pyr.tif,-1.60291,69.224593
M1233799944RC_pyr.tif,-1.602781,69.239483
M1233799944RC_pyr.tif,-1.602652,69.191155
M1233799944LC_pyr.tif,-1.602629,69.071897
M1233799944LC_pyr.tif,-1.602629,69.045455
M1233799944LC_pyr.tif,-1.602297,69.070164
M1233799944RC_pyr.tif,-1.602266,69.214324
M1233799944LC_pyr.tif,-1.602098,69.083
M1233799944LC_pyr.tif,-1.601898,69.096606
M1233799944LC_pyr.tif,-1.601832,69.080497
M1233799944RC_pyr.tif,-1.601814,69.230754
M1233799944LC_pyr.tif,-1.601766,69.077609
M1233799944LC_pyr.tif,-1.601633,69.076197
M1233799944LC_pyr.tif,-1.601566,69.082551
M1233799944RC_pyr.tif,-1.601557,69.216249
M1233799944RC_pyr.tif,-1.601557,69.224465
M1233799944RC_pyr.tif,-1.601557,69.224914
M1233799944LC_pyr.tif,-1.6015,69.052387
M1233799944LC_pyr.tif,-1.6015,69.063875
M1233799944RC_pyr.tif,-1.601428,69.192888
M1233799944RC_pyr.tif,-1.601428,69.246221
M1233799944RC_pyr.tif,-1.601428,69.233642
M1233799944RC_pyr.tif,-1.601428,69.232423
M1233799944LC_pyr.tif,-1.601301,69.070806
M1233799944RC_pyr.tif,-1.601041,69.226647
M1233799944RC_pyr.tif,-1.600977,69.229406
M1233799944LC_pyr.tif,-1.60077,69.071705
M1233799944RC_pyr.tif,-1.600719,69.202836
M1233799944LC_pyr.tif,-1.600703,69.067597
M1233799944LC_pyr.tif,-1.60057,69.096286
M1233799944RC_pyr.tif,-1.600461,69.214196
M1233799944RC_pyr.tif,-1.600332,69.217597
M1233799944LC_pyr.tif,-1.600238,69.074529
M1233799944RC_pyr.tif,-1.600139,69.2416
M1233799944LC_pyr.tif,-1.599973,69.062655
