Lro flight direction	North azimuth	Sub solar azimuth	Image Name
-X	87.35	153.84	M139232687LC_pyr.tif
-X	90.26	153.82	M139232687RC_pyr.tif
+X	267.83	172.47	M141526193RC_pyr.tif
+X	271.04	172.72	M141526193LC_pyr.tif
+X	267.6	213.89	M141526385RC_pyr.tif
+X	271.35	214.66	M141526385LC_pyr.tif
+X	271.04	179.56	M141539795LC_pyr.tif
+X	267.75	179.22	M141539795RC_pyr.tif
+X	267.78	170.53	M141553332RC_pyr.tif
+X	270.97	170.76	M141553332LC_pyr.tif
+X	267.62	201.88	M141546684RC_pyr.tif
+X	271.19	202.51	M141546684LC_pyr.tif
+X	271.05	184.03	M141560176LC_pyr.tif
+X	271.03	181.42	M141566951LC_pyr.tif
+X	267.75	175.52	M141573713RC_pyr.tif
+X	271	175.81	M141573713LC_pyr.tif
+X	267.72	181.06	M141566951RC_pyr.tif
+X	267.71	183.64	M141560176RC_pyr.tif
+X	271	176.36	M141580501LC_pyr.tif
+X	267.74	176.06	M141580501RC_pyr.tif
+X	270.95	169.82	M141587258LC_pyr.tif
+X	271.24	209.55	M141587447LC_pyr.tif
+X	267.55	208.83	M141587447RC_pyr.tif
+X	267.77	169.6	M141587258RC_pyr.tif
+X	271.19	203.86	M141594200LC_pyr.tif
+X	267.59	203.21	M141594200RC_pyr.tif
+X	267.73	179.75	M143880148RC_pyr.tif
+X	270.95	176.95	M143886884LC_pyr.tif
+X	271.05	180.08	M143880148LC_pyr.tif
+X	267.76	176.68	M143886884RC_pyr.tif
+X	267.54	188.54	M143887075RC_pyr.tif
+X	271.26	189.05	M143887075LC_pyr.tif
+X	271.24	188.91	M143893858LC_pyr.tif
+X	267.52	188.4	M143893858RC_pyr.tif
+X	270.93	176.58	M143893662LC_pyr.tif
+X	267.75	176.32	M143893662RC_pyr.tif
+X	270.92	176.71	M143900449LC_pyr.tif
+X	271.08	183.87	M143907347LC_pyr.tif
+X	267.73	176.45	M143900449RC_pyr.tif
+X	267.51	188.28	M143900642RC_pyr.tif
+X	267.55	185.66	M143914167RC_pyr.tif
+X	267.6	183.46	M143907347RC_pyr.tif
+X	271.22	188.79	M143900642LC_pyr.tif
+X	271.14	186.11	M143914167LC_pyr.tif
+X	271.08	184.08	M143920919LC_pyr.tif
+X	267.59	183.67	M143920919RC_pyr.tif
+X	271.13	186.16	M143927737LC_pyr.tif
+X	267.55	185.7	M143927737RC_pyr.tif
+X	267.67	179.35	M143934416RC_pyr.tif
+X	270.97	179.68	M143934416LC_pyr.tif
+X	271.08	184.19	M143941272LC_pyr.tif
+X	267.73	175.65	M143947921RC_pyr.tif
+X	267.5	187.75	M143948121RC_pyr.tif
+X	270.88	175.9	M143947921LC_pyr.tif
+X	267.58	183.77	M143941272RC_pyr.tif
+X	267.69	179.03	M146241600RC_pyr.tif
+X	271.19	188.25	M143948121LC_pyr.tif
+X	271.11	181.42	M146248484LC_pyr.tif
+X	267.68	178.59	M146255155RC_pyr.tif
+X	270.98	179.32	M146241600LC_pyr.tif
+X	267.56	181.07	M146248484RC_pyr.tif
+X	270.92	178.87	M146255155LC_pyr.tif
+X	267.44	182.6	M146255347RC_pyr.tif
+X	271.19	182.76	M146262122LC_pyr.tif
+X	270.87	178.47	M146268711LC_pyr.tif
+X	267.68	178.21	M146268711RC_pyr.tif
+X	271.22	183.01	M146255347LC_pyr.tif
+X	267.45	182.36	M146262122RC_pyr.tif
+X	267.44	182.31	M146268912RC_pyr.tif
+X	271.18	182.71	M146268912LC_pyr.tif
+X	271.09	181.59	M146282430LC_pyr.tif
+X	267.5	181.23	M146282430RC_pyr.tif
+X	267.64	178.73	M146275523RC_pyr.tif
+X	270.9	179.01	M146275523LC_pyr.tif
+X	270.99	180.25	M146289154LC_pyr.tif
+X	267.58	179.93	M146289154RC_pyr.tif
+X	267.45	181.93	M146296038RC_pyr.tif
+X	271.14	182.32	M146296038LC_pyr.tif
+X	270.84	178.26	M146295847LC_pyr.tif
+X	267.68	178.01	M146295847RC_pyr.tif
+X	270.97	180.09	M146302719LC_pyr.tif
+X	267.58	179.78	M146302719RC_pyr.tif
+X	270.98	180.17	M146309508LC_pyr.tif
+X	92.14	178.05	M149778116RC_pyr.tif
+X	89.34	178.3	M149778116LC_pyr.tif
+X	267.57	179.86	M146309508RC_pyr.tif
+X	89.34	178.15	M149784894LC_pyr.tif
+X	89.55	180.86	M149778252LC_pyr.tif
+X	92.17	177.91	M149784894RC_pyr.tif
+X	89.56	180.72	M149785029LC_pyr.tif
+X	92.28	176.72	M149791615RC_pyr.tif
+X	92.02	180.38	M149785029RC_pyr.tif
+X	89.25	176.92	M149791615LC_pyr.tif
+X	89.47	179.48	M149791750LC_pyr.tif
+X	92.13	179.09	M149798530RC_pyr.tif
+X	89.48	179.38	M149798530LC_pyr.tif
+X	89.26	176.81	M149798396LC_pyr.tif
+X	92.11	179.19	M149791750RC_pyr.tif
+X	89.4	178.18	M149805254LC_pyr.tif
+X	92.07	180.45	M149805389RC_pyr.tif
+X	89.61	180.78	M149805389LC_pyr.tif
+X	92.3	176.61	M149798396RC_pyr.tif
+X	92.22	177.93	M149805254RC_pyr.tif
+X	92.25	177.59	M149818809RC_pyr.tif
+X	89.38	177.83	M149818809LC_pyr.tif
+X	89.35	177.4	M149832361LC_pyr.tif
+X	92.28	177.18	M149832361RC_pyr.tif
